HaoTong Aero Tech,htaerotech.com,91.210.233.168,no AAAA,20 hzmx02.mxmail.netease.com.,no DS,no CAA,no SPF,"""v=dmarc; p=none; fo=1; ruf=mailto:dmarc@qiye.163.com; rua=mailto:dmarc_report@qiye.163.com"""
IASC Shannon,iasc.aero,192.124.249.68,2a02:fe80:1010::18:9,20 iasc-aero.mail.protection.outlook.com.,no DS,no CAA,no SPF,"""v=spf1 include:spf.protection.outlook.com -all"""
ICBC Leasing,icbcleasing.com,no A,no AAAA,50 icbcleasing-com.mail.protection.partner.outlook.cn.,no DS,no CAA,no SPF,"""v=spf1 include:spf.protection.partner.outlook.cn -all"""
Ireland West Airport,irelandwestairport.com,91.210.232.29,no AAAA,0 spamtitan.zenotec.ie.,no DS,no CAA,no SPF,"""v=spf1 +a +mx +ip4:91.210.232.29 include:spf.webhostingireland.ie include:spf.protection.outlook.com -all"""
Irish Air Corps,military.ie,52.16.253.187,no AAAA,1 military-ie.mail.protection.outlook.com.,no DS,no CAA,no SPF,"""v=spf1 include:spf.protection.outlook.com -all"""
Irish Aviation Authority,iaa.ie,no A,no AAAA,20 mail2.iaa.ie.,no DS,no CAA,no SPF,"""v=spf1 a mx ip4:213.94.227.172 ip4:83.71.131.234 ip4:213.94.227.184 ip4:81.93.164.103 ip4:81.93.173.201/32 include:spf.protection.outlook.com -all include:spf.emailsignatures365.com"""
Irish Aviation Students Association,iasa.aero,168.63.79.58,no AAAA,10 iasa-aero.mail.protection.outlook.com.,no DS,no CAA,no SPF,"""facebook-domain-verification=jucfc4z1wxymfye6e52zm4o1c5j8o6"""
Irish Parachute Club,skydive.ie,92.51.243.79,no AAAA,0 skydive-ie.mail.protection.outlook.com.,no DS,no CAA,no SPF,"""MS=ms76852936"""
Irelandia Aviation,irelandiaaviation.ie,46.245.209.22,no AAAA,30 mail.irelandiaaviation.ie.,no DS,no CAA,no SPF,no TXT
ISTAT,istat.org,38.106.217.150,no AAAA,10 smtp02.mail.smithbucklin.com.,no DS,no CAA,no SPF,"""v=spf1 ip4:38.106.208.0/20 include:obmail.socious.net ip4:208.117.52.113 ~all"""
IT Carlow,itcarlow.ie,149.153.4.1,no AAAA,10 mailgate.itcarlow.ie.,no DS,no CAA,no SPF,"""MS=ms48101716"""
Jackson Square Aviation,jsa.com,65.50.232.211,no AAAA,10 us-smtp-inbound-1.mimecast.com.,no DS,no CAA,no SPF,"""v=spf1 include:mail.zendesk.com include:spf.protection.outlook.com include:_netblocks.mimecast.com include:mail.stream.aero -all"""
Karman Aviation,karmanaviation.ie,78.137.164.234,no AAAA,0 karmanaviation.ie.,no DS,no CAA,no SPF,no TXT
Kerry Airport,kerryairport.ie,91.223.9.70,no AAAA,10 mx5.elivescanned.net.,no DS,no CAA,no SPF,no TXT
KPMG,kpmg.ie,149.126.74.35,no AAAA,4 mxb-00120b02.gslb.pphosted.com.,no DS,no CAA,no SPF,no TXT
Law Society of Ireland,lawsociety.ie,77.107.238.225,no AAAA,10 cluster3.eu.messagelabs.com.,no DS,no CAA,no SPF,"""v=spf1 ip4:87.198.182.32/28 ip4:212.78.228.5/32 ip4:31.193.222.80/28 ip4:216.220.33.81 ip4:216.220.41.78 a:lawsoc.enovation.ie include:spf.messagelabs.com ~all"""
LCETB,limerickclare.etb.ie,134.213.45.236,no AAAA,no MX,no DS,no CAA,no SPF,no TXT
Lufthansa Technik,lufthansa-technik.com,217.110.124.249,no AAAA,10 mx1.lhsystems.com.,no DS,no CAA,no SPF,"""dA9Z9gR0I4twPqf19SexgEQBnBPs4mLcWdST2mTwqFtDEE3BU8NQUeEOQZvUagnZ6sM8s2sZbVm5iXv7WnhplQ=="""
Macquarie,macquarie.com,203.210.65.6,no AAAA,10 cluster9.us.messagelabs.com.,no DS,no CAA,no SPF,"""pardot318661=ab2484b2ede3a102360f74db9880fca08f49ae0628f38befd36d62d823a728a1"""
Maples,maplesandcalder.com,104.20.214.8,2606:4700:10::6814:d608,5 je-smtp-inbound-1.mimecast-offshore.com.,no DS,no CAA,no SPF,"""MS=ms33297270"""
Mason Hayes  Curran,mhc.ie,46.22.137.60,no AAAA,4 eu-smtp-inbound-2.mimecast.com.,no DS,no CAA,no SPF,"""v=spf1 include:_netblocks.mimecast.com ~all"""
Matheson,matheson.com,52.164.205.135,no AAAA,30 mail.matheson.com.,no DS,no CAA,no SPF,"""MS=B368BA1DF54B4F0269211E5E7181ABD607F3F597"""
MC Aviation Partners,mcapgroup.com,23.185.0.3,2620:12a:8001::3,10 mcapgroup-com.mail.eo.outlook.com.,no DS,no CAA,no SPF,"""v=spf1 +ip4:87.239.101.26 include:spf.protection.outlook.com -all"""
Menzies Aviation,menziesaviation.com,52.169.70.121,no AAAA,20 cluster2a.eu.messagelabs.com.,no DS,no CAA,no SPF,"""MS=ms83456097"""
Merx Aviation,merxaviation.com,52.17.142.199,no AAAA,0 merxaviation-com.mail.protection.outlook.com.,no DS,no CAA,no SPF,"""v=spf1 include:spf.protection.outlook.com -all"""
Newcastle Airfield,einc.ie,78.137.164.90,no AAAA,0 einc.ie.,no DS,no CAA,no SPF,no TXT
National Flight Centre,nfc.ie,78.153.220.142,no AAAA,5 nfc-ie.mail.protection.outlook.com.,no DS,no CAA,no SPF,"""v=spf1 a:pemlinng047.blacknight.com a:s1a-se.blacknight.ie a:s2a-se.blacknight.ie include:spf.protection.outlook.com -all"""
Nordic Aviation Capital,nac.dk,52.178.24.186,no AAAA,10 nac-dk.mail.protection.outlook.com.,no DS,no CAA,no SPF,"""v=spf1 a mx ip4:195.182.36.98 ip4:167.89.87.16 include:mail.zendesk.com include:sendgrid.net include:spf.protection.outlook.com -all"""
Norwegian Air International,norwegian.com,81.93.171.69,no AAAA,10 mx2.ltit.no.,no DS,no CAA,no SPF,"""WQCmeXlYe2rQbPnZC9ScHukp093J08Im0FufUuIMoXh32TrPKjmlHr3KNvxe9gEJpc9mKDIyooyIiiya74EiUA=="""
Orix Aviation,orixaviation.com,46.30.58.230,no AAAA,10 mx2.agenturserver.de.,no DS,no CAA,no SPF,no TXT
Part M Aviation,partmaviation.com,91.210.232.80,no AAAA,10 mail.partmaviation.com.,no DS,no CAA,no SPF,no TXT
PwC,pwc.ie,155.201.250.61,no AAAA,0 mx.pwc.ie.cust.b.hostedemail.com.,no DS,no CAA,no SPF,"""v=spf1 ~all"""
Ryanair,ryanair.com,216.146.46.11,no AAAA,10 mail1.ryanair.com.,no DS,no CAA,no SPF,"""MS=ms60876573"""
Shannon Airport,shannonairport.ie,63.33.160.6,no AAAA,10 relay.shannonairport.ie.,no DS,no CAA,no SPF,"""v=spf1 include:spf.protection.outlook.com IP4:185.113.232.4 IP4:118.151.216.1 IP4:118.151.218.1 IP4:143.47.149.172 IP4:143.47.149.171 -all"""
Shannon IASC,iasc.aero,192.124.249.68,2a02:fe80:1010::18:9,20 iasc-aero.mail.protection.outlook.com.,no DS,no CAA,no SPF,"""v=spf1 include:spf.protection.outlook.com -all"""
Sita,sita.aero,217.114.85.70,no AAAA,10 mxb-001e2a01.gslb.pphosted.com.,no DS,no CAA,no SPF,"""Atlanta Data Center Escalated Support +1 404 684-2026"""
Sky Handling Partner,skyhandlingpartner.ie,46.101.85.213,no AAAA,10 mail.skyhandlingpartner.ie.,no DS,no CAA,no SPF,"""v=spf1 a:spf.webtrade.ie include:relay.mailchannels.net ~all"""
Skyworks Capital,skyworkscapital.com,52.7.83.163,no AAAA,1 skyworkscapital-com.mail.protection.outlook.com.,no DS,no CAA,no SPF,"""v=spf1 include:spf.protection.outlook.com -all"""
Sligo Airport,sligoairport.com,78.137.164.56,no AAAA,0 sligoairport.com.,no DS,no CAA,no SPF,no TXT
SMBC Aviation Capital,smbc.aero,84.51.239.204,no AAAA,5 mail1.smbc.aero.,no DS,no CAA,no SPF,"""MS=ms19834421"""
Stellwagen Group,stellwagengroup.com,35.189.107.206,no AAAA,10 d302656.b.ess.de.barracudanetworks.com.,no DS,no CAA,no SPF,"""google-site-verification=gfUz2TLdnTMTlFHFFWncYy6c_UaOSZIXbjQ5QabS00M"""
Swissport,swissport.com,178.209.45.14,no AAAA,10 swissport-com.mail.protection.outlook.com.,no DS,no CAA,no SPF,"""nca+HBzZpiSLztBJuuJ5iSDVIdUYO00I7qP6o17+lFuVqTkuavdv3Or44jRUcvgksgxIIsy1AjkmRaEUH1TvLA=="""
Sysco Leasing Software,leasing.sysco-software.com,77.104.171.183,no AAAA,no MX,no DS,no CAA,no SPF,no TXT
Trim Flying Club,trimflyingclub.ie,195.7.228.77,no AAAA,30 mx2.reg365.net.,no DS,no CAA,no SPF,"""v=spf1 include:spf.reg365.net ~all"""
UCD,ucd.ie,no A,no AAAA,10 aspmx2.googlemail.com.,no DS,no CAA,"""v=spf1 ip4:137.43.231.0/24 ip4:137.43.91.0/24 ip4:52.31.254.168 ip4:193.1.174.0/23 include:_spf.google.com ~all""","""v=spf1 ip4:137.43.231.0/24 ip4:137.43.91.0/24 ip4:52.31.254.168 ip4:193.1.174.0/23 include:_spf.google.com ~all"""
University of Limerick,ul.ie,216.59.56.71,no AAAA,15 marshal3.ul.ie.,no DS,no CAA,no SPF,"""facebook-domain-verification=rhafxeypm4kdyi8f1f5cljup2hws2j"""
Weston Airport,westonairport.ie,89.234.67.101,no AAAA,10 mailpro.avova.ie.,no DS,no CAA,no SPF,no TXT
Waterford Airport,waterfordairport.ie,81.17.241.66,no AAAA,0 waterfordairport.ie.,no DS,no CAA,no SPF,no TXT
